State Name,State,Employ_No,Mean_wage_yr,Median_wage_yr,Employ per 1000 jobs
Alabama,AL,41560,84290,79020,21.381
Alaska,AK,5280,80280,77000,16.748
Arizona,AZ,94060,83140,79130,33.718
Arkansas,AR,23160,68290,63450,19.135
California,CA,616270,108190,103310,36.235
Colorado,CO,116930,96880,93730,44.62
Connecticut,CT,48420,92590,88710,29.163
Delaware,DE,17120,93550,90240,38.173
District of Columbia,DC,42120,108600,107780,59.123
Florida,FL,206930,78780,73520,24.038
Georgia,GA,148690,88590,84720,33.834
Guam,GM,600,51660,46190,9.95
Hawaii,HI,10030,80570,78220,15.63
Idaho,ID,14610,71910,66900,20.687
Illinois,IL,177530,87720,84540,29.632
Indiana,IN,59060,75100,70990,19.376
Iowa,IA,36530,78720,76030,23.695
Kansas,KS,34560,73230,68750,25.127
Kentucky,KY,32450,70890,66760,17.17
Louisiana,LA,20480,66850,61530,10.699
Maine,ME,12270,77440,72920,20.255
Maryland,MD,128230,100560,97860,47.776
Massachusetts,MA,141450,98630,94680,39.607
Michigan,MI,112890,79280,76020,26.144
Minnesota,MN,96020,87350,83740,33.484
Mississippi,MS,12380,69920,63700,11.013
Missouri,MO,88360,78420,75590,31.505
Montana,MT,8660,65390,60390,18.684
Nebraska,NE,30550,77270,75420,31.226
Nevada,NV,20150,78960,73630,14.96
New Hampshire,NH,21660,93680,89070,33.174
New Jersey,NJ,144240,101390,96480,35.612
New Mexico,NM,15520,78830,73720,19.115
New York,NY,264620,97320,90060,28.194
North Carolina,NC,135130,87630,84680,30.829
North Dakota,ND,8050,69350,64820,19.332
Ohio,OH,150790,82080,77940,27.838
Oklahoma,OK,30540,71540,67240,19.158
Oregon,OR,53550,85140,82510,28.394
Pennsylvania,PA,158420,84800,80360,27.091
Puerto Rico,PR,11070,43470,38080,13.082
Rhode Island,RI,13680,88020,84970,28.387
South Carolina,SC,39740,74030,69640,19.272
South Dakota,SD,8160,65680,61820,19.325
Tennessee,TN,56460,75310,71080,19.094
Texas,TX,364120,90740,86340,30.059
Utah,UT,52430,81740,76940,36.012
Vermont,VT,7280,75920,70180,23.867
Virgin Islands,VI,320,58860,51980,9.806
Virginia,VA,206750,102430,98810,53.94
Washington,WA,164830,108660,106350,50.574
West Virginia,WV,11010,71400,64460,15.808
Wisconsin,WI,77540,77080,73690,27.221
Wyoming,WY,3030,67380,62440,11.236
